Generation,BestFitness,AvgFitness,WorstFitness
84,960.51,10.41,-50.10
85,500.77,2.35,-50.10
86,2006.75,176.16,-50.10
87,503.41,-0.66,-50.10
88,509.74,54.47,-50.10
89,1949.90,109.84,-50.10
90,2006.19,165.56,-50.10
91,500.00,-2.95,-50.10
92,2500.00,86.09,-50.10
93,2007.45,67.24,-50.10
94,6.24,-29.36,-50.10
95,2500.00,97.73,-50.10
96,12.92,-33.07,-50.10
97,504.15,11.19,-50.10
98,2500.00,126.20,-50.10
99,500.64,0.87,-50.10
100,2006.75,68.59,-50.10
101,2005.98,172.20,-50.10
102,17.17,-28.34,-50.10
103,19.68,-27.49,-50.10
104,502.17,-2.21,-50.10
105,1950.06,69.78,-50.10
106,512.42,-3.09,-50.10
107,510.66,-12.43,-50.10
108,21.19,-32.06,-50.10
109,500.00,-6.76,-50.10
110,500.72,23.86,-50.10
111,1010.85,17.76,-50.10
112,13.76,-24.83,-50.10
113,20.20,-31.16,-50.10
114,17.50,-24.35,-50.10
115,502.91,24.74,-50.10
116,0.09,-40.51,-50.10
117,15.59,-31.99,-50.10
118,11.57,-35.11,-50.10
119,507.73,-4.44,-50.10
120,2500.00,224.99,-50.10
121,2007.17,74.93,-50.10
122,1951.20,175.40,-50.10
123,1008.00,16.20,-50.10
124,1511.50,49.94,-50.10
125,2500.00,174.66,-50.10
126,502.06,-0.88,-50.10
127,1009.41,23.29,-50.10
128,28.47,-28.49,-50.10
129,2500.00,169.67,-50.10
130,2500.00,131.14,-50.10
131,501.69,-7.09,-50.10
132,505.64,16.75,-50.10
133,9.81,-35.55,-50.10
134,18.64,-25.13,-50.10
135,17.24,-26.83,-50.10
136,11.43,-25.53,-50.10
137,10.54,-33.16,-50.10
138,2949.90,117.58,-50.10
139,500.00,-5.37,-50.10
140,511.19,0.83,-50.10
141,952.72,35.38,-50.10
142,2000.00,75.22,-50.10
143,2003.40,73.84,-50.10
144,1001.55,97.60,-50.10
145,21.24,-19.38,-50.10
146,2949.90,126.09,-50.10
147,29.19,-31.82,-50.10
148,2512.34,92.79,-50.10
149,2949.90,239.27,-50.10
150,2000.00,110.23,-50.10
151,449.90,-5.91,-50.10
152,2949.90,268.43,-50.10
153,2000.00,96.95,-50.10
154,2000.00,93.60,-50.10
155,500.97,29.82,-50.10
156,2000.00,65.36,-50.10
157,1955.02,220.11,-50.10
158,500.00,-2.73,-50.10
159,19.96,-35.40,-50.10
160,500.00,-1.90,-50.10
161,1506.13,95.07,-50.10
162,509.95,-14.54,-50.10
163,2449.90,196.39,-50.10
164,2454.09,135.22,-50.10
165,504.54,50.45,-50.10
166,500.85,25.30,-50.10
167,13.78,-21.79,-50.10
168,500.00,0.58,-50.10
169,16.27,-35.44,-50.10
170,511.15,-7.45,-50.10
171,500.82,-7.60,-50.10
172,2449.90,93.62,-50.10
173,14.37,-32.47,-50.10
174,500.06,-0.32,-50.10
175,2000.00,73.37,-50.10
176,2000.16,153.11,-50.10
177,1010.76,78.69,-50.10
178,505.11,25.58,-50.10
179,500.18,-0.50,-50.10
180,1505.58,45.88,-50.10
181,500.00,22.46,-50.10
182,501.00,22.20,-50.10
183,1008.73,78.63,-50.10
184,2949.90,184.18,-50.10
185,2000.00,277.64,-50.10
186,2001.54,139.34,-50.10
187,2949.90,159.46,-50.10
188,500.00,-9.82,-50.10
189,2949.90,191.44,-50.10
190,1004.09,75.25,-50.10
191,2511.88,116.94,-50.10
192,13.96,-16.92,-50.10
193,2000.00,75.55,-50.10
194,959.58,38.81,-50.10
195,954.41,65.57,-50.10
196,18.33,-27.62,-50.10
197,2000.00,173.19,-50.10
198,1009.60,18.09,-50.10
199,2008.48,87.40,-50.10
200,1008.23,20.60,-50.10
201,1009.04,26.42,-50.10
202,2454.44,138.75,-50.10
203,1010.82,65.46,-50.10
204,951.86,18.08,-50.10
205,1504.22,117.25,-50.10
206,1511.16,33.75,-50.10
207,9.33,-31.51,-50.10
208,2003.09,72.27,-50.10
209,24.15,-32.06,-50.10
210,1006.25,26.40,-50.10
211,2000.00,64.91,-50.10
212,21.51,-14.53,-50.10
213,2000.00,112.22,-50.10
214,509.85,-2.47,-50.10
215,508.82,20.77,-50.10
216,20.73,-21.05,-50.10
217,19.45,-24.12,-50.10
218,2949.90,150.93,-50.10
219,19.61,-23.78,-50.10
220,951.66,43.18,-50.10
221,500.00,-6.83,-50.10
222,1009.09,28.76,-50.10
223,951.83,45.62,-50.10
224,500.00,13.50,-50.10
225,1011.52,62.68,-50.10
226,1508.49,71.43,-50.10
